N|Acuraccy|Precision|Recall|F-Measure|Class|Domain|DomainValue|Comment
67|0.8305085|0.8727273|0.9411765|0.9056604|2|Subject:History_of_weaving|0.066666670|"""@allaboutmanfeet: http://t.co/3gzupfumev"" woof woof and hot soles"
68|0.81666666|0.8727273|0.9230769|0.89719623|2|Subject:Act_as_1_Campaign|0.138888910|"""@allyhaaaaa: lemmie eat a oreo &amp; do these dishes."" one oreo? lol"
69|0.8196721|0.875|0.9245283|0.89908254|1|Subject:Nuisance_fee|0.200000003|"""@almightywayne__: @jetsandaswisher @gook____ bitch fuck u http://t.co/pxmga68nc1"" maybe you'll get better. just http://t.co/tprevwfq0s"
71|0.8064516|0.875|0.9074074|0.8909091|2|Subject:Hebron_Jane_Doe|0.173333332|"""@arizonasfinest6: why the eggplant emoji doe?""y he say she looked like scream lmao"
72|0.8095238|0.877193|0.90909094|0.8928571|1|Subject:Act_as_1_Campaign|0.138888910|"""@autoworid: hennessey venom gt &#128584; http://t.co/i8egmnkaj9"" that's one sexy bitch"
73|0.796875|0.86206895|0.90909094|0.88495576|1|Subject:Shower_train|0.066666670|"""@bossbytchh: him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
74|0.8|0.86440676|0.91071427|0.8869565|1|Subject:Nuisance_fee|0.400000006|"""@bro_hen314: #eaglesnation and every #eagles need to see that pic i just posted because that bitch just said the most racist shit"""
75|0.8030303|0.8666667|0.9122807|0.8888889|1|Subject:Offence_against_the_person|0.680952430|"""@bvsedchink: yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/vbczp6hmt7"" @amjemiebenn"
76|0.7910448|0.8666667|0.8965517|0.88135594|2|Subject:Parental_abuse_by_children|0.333333343|"""@babyanimalpics: baby monkey bathtime http://t.co/7kpwadlf0r"" awwwwe! this is soooo adorable!"
78|0.7941176|0.86885244|0.89830506|0.88333327|1|Subject:B|0.200000003|"""@beeasyjrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""no bs must b &gt;30%chance"
79|0.79710144|0.87096775|0.9|0.88524586|1|Subject:Nuisance_fee|0.200000003|"""@beenbasedb: @_kudabrazyy http://t.co/luubgl9y5u"" 0 rings 0 mvps 0 bitches lol"
81|0.8|0.8730159|0.90163934|0.88709676|1|Subject:Abuse_of_information|0.285714298|"""@bestproadvice: the facts on tattoos...tattoo http://t.co/zwnbhpdz8e"" he's a pussy with not tattooing them nipples"
82|0.8028169|0.875|0.9032258|0.88888884|1|Subject:Nuisance_fee|0.400000006|"""@bill215_: &#128175;&#128175;&#128175; rt @nel_ayden bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
83|0.7916667|0.86153847|0.9032258|0.8818897|1|Subject:Bad_bitch|0.071111120|"""@bitchjones92: get worshiping bitch! http://t.co/r37cejcjou"" woof woof"
85|0.79452056|0.8636364|0.9047619|0.88372093|1|Subject:Machiavellianism_in_the_workplace|0.229166687|"""@blacknerdjade: ok, sis."" she'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
86|0.7972973|0.86567163|0.90625|0.88549614|0|Subject:Poof|0.333333343|"""@blackman38tide: @whalelookyhere @howdydowdy11 queer"" gaywad"
87|0.7866667|0.85294116|0.90625|0.8787879|1|Subject:Blonde_jokes|0.095238104|"""@brokenpiecesmsc: @itsnotadam faggot read my tweets after dat k"" it wasn't even funny lol"
91|0.7763158|0.8405797|0.90625|0.8721804|1|Subject:Zaria_Quds_Day_massacres|0.066666670|"""@ccobey: @aydanmccoy happy birthday nigs"" thanks yo"
92|0.77922076|0.8428571|0.9076923|0.8740741|1|Subject:Academic_abuse|0.200000003|"""@chlldhoodruiner: when ur teacher tells u that u have homework https://t.co/rkk5vawij1"" this bitch need to go!!!"
93|0.78205127|0.8450704|0.90909094|0.8759124|1|Subject:John_Kerney|0.250000000|"""@caelang15: ""@22edham: @caelang15 that nigga was eating that hoe lol"" hell yea lol john paul"" nigga said john paul.. http://t.co/osipbkpr9h"
94|0.7848101|0.8472222|0.9104478|0.8776979|1|Subject:Offences_Against_the_Person_Act|0.323809564|"""@canifuckornah: what would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
95|0.7875|0.84931505|0.9117647|0.87943256|1|Subject:Motherfucker|0.223333344|"""@carelessone92: leafs better win this damn game so i can go riot and shit #earlychristmas"" you better start looting my nig"
96|0.79012346|0.8513514|0.9130435|0.88111895|1|Subject:Iron_chair|0.166666672|"""@causewereguys: going back to school sucks more dick than the hoes who attend it."""
97|0.79268295|0.85333335|0.9142857|0.8827586|1|Subject:Years_of_Lead|0.166666672|"""@causewereguys: on my way to fuck yo bitch http://t.co/j906t5ze2r"" me as a 9 year old"
98|0.79518074|0.8552632|0.91549295|0.88435376|1|Subject:First_they_came_...|0.201388910|"""@celeynichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
99|0.79761904|0.85714287|0.9166667|0.8859061|1|Subject:Drop_set|0.133333340|"""@chadmfverbeck: if richnow doesn't show up with hella tinder hoes im not his friend anymore"" chill i brought like like 8 prople"
100|0.8|0.85897434|0.91780823|0.88741726|1|Subject:Offences_Against_the_Person_Act|0.133333340|"""@chandlerparsons: how bout them cowboys!!!!"" shutup pussy"
101|0.8023256|0.8607595|0.9189189|0.8888889|1|Subject:Nuisance_fee|0.400000006|"""@clicquotsuave: lmaooooooooooo this nigga @krillz_nuh_care http://t.co/aanpsujmyi"" &lt;bitch want likes for some depressing shit..foh"
102|0.8045977|0.8625|0.92|0.89032257|1|Subject:Nuisance_fee|0.400000006|"""@coley_cee: @lil_aerii girl you know i was spitting that g shit to you &amp; you was going lbvs""bitch plz"
103|0.8068182|0.86419755|0.92105263|0.89171976|1|Subject:Kishka_(prison_cell)|0.240000010|"""@coley_cee: let me make a couple tweets off cuzzo page, so i won't get in twitter jail.""lmao bitch don't trick me again"
104|0.80898875|0.86585367|0.9220779|0.8930818|1|Subject:Drop_set|0.200000018|"""@comedyposts: harlem shake is just an excuse to go full retard for 30 seconds."""
105|0.8111111|0.8674699|0.9230769|0.8944099|1|Subject:Total_balance|0.160000011|"""@comedytruth: amen miley &#128591; http://t.co/p2kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
106|0.8131868|0.86904764|0.9240506|0.8957056|1|Subject:Offence_against_the_person|0.323809564|"""@corybandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
107|0.8043478|0.85882354|0.9240506|0.89024395|1|Subject:The_Eye_That_Cries|0.050000001|"""@crhedry: pussy licking pussy.... meow meow #stopwhitepeople2014 &#128049; https://t.co/keegdcjs5k&#8221;"""""""" &#128533;"
108|0.8064516|0.8604651|0.925|0.8915662|1|Subject:Offence_against_the_person|0.623809576|"""@dbab_holloway: check out our 12th man. #cowboysnation"" even with all those faggot ny fans in the stands"
110|0.80851066|0.86206895|0.9259259|0.89285713|1|Subject:Offences_Against_the_Person_Act|0.323809564|"""@daedavidavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
111|0.8105263|0.8636364|0.9268293|0.89411765|0|Subject:Gay_bashing|0.285714298|"""@devilgrimz: @vigxrarts you're fucking gay, blacklisted hoe"" holding out for #tehgodclan anyway http://t.co/xuccwoetmn"
112|0.8125|0.8651685|0.92771083|0.8953488|1|Subject:Offence_against_the_person|0.133333340|"""@diamondloudkush: the fuck be wrong with these bitches?"" nobody knows"
113|0.814433|0.8666667|0.9285714|0.8965517|1|Subject:Bitch_tits|0.250000000|"""@dietrich1892: yall shut up:p"" make me bitch"
114|0.81632656|0.8681319|0.92941177|0.89772725|1|Subject:Adult_abuse|0.285714298|"""@dionairish: i hate a ""i'm pregnant"" type of bitch."""
115|0.8181818|0.8695652|0.9302326|0.89887637|1|Subject:Three_Evils|0.156250000|"""@doyou_q: got bitches in the dm but i don't ever read'em"" which is y your top 3"
116|0.81|0.8695652|0.9195402|0.89385474|2|Subject:It's_Showtime_2012_in_Leeuwarden|0.166666672|"""@domworldpeace: baseball season for the win. #yankees"" this is where the love started"
117|0.8118812|0.87096775|0.92045456|0.8950276|1|Subject:Nuisance_fee|0.200000003|"""@dommoneek: little stupid as bitch i don't fuck with yoooooouuuu.."""
118|0.8137255|0.87234044|0.92134833|0.8961749|1|Subject:Blinding_(punishment)|0.150000006|"""@dreadheadari: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" lol"
119|0.80582523|0.87234044|0.9111111|0.8913044|2|Subject:Night_raids_in_Afghanistan|0.166666672|"""@dunderbail: i'm an early bird and i'm a night owl, so i'm wise and have worms."""
120|0.7980769|0.87234044|0.9010989|0.8864865|2|Subject:Motherfucker|0.223333344|"""@edgarpixar: overdosing on heavy drugs doesn't sound bad tonight."" i do that pussy shit every day."
121|0.7904762|0.87234044|0.8913044|0.8817204|2|Subject:Offence_against_the_person|0.457142889|"""@el_grillo1: pit bulls photographed as lovely fairy tale creatures http://t.co/q0sm89oolh&#8221; they *are* fairy tale creatures."
122|0.7924528|0.8736842|0.8924731|0.8829787|1|Subject:Poof|0.333333343|"""@ferocious_ghost: @1stname_bravo aw."" ...fag, don't tweet ""aw"" to me lol"
124|0.7943925|0.875|0.89361703|0.8842105|1|Subject:Poof|0.333333343|"""@frosstyy_: @h0rheyd i didn't say anything tho"" kiss me then faggot"
125|0.787037|0.875|0.8842105|0.8795811|2|Subject:Spray-on_clothing|0.250000000|"""@funnypicsdepot: this the ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/zuai7qwbir"" &#128514; yup"
126|0.78899086|0.87628865|0.8854167|0.880829|1|Subject:Nuisance_fee|0.200000003|"""@g27status: i could go for a fat ass bitch on my lap"" same"
127|0.7909091|0.877551|0.88659793|0.8820513|1|Subject:Bitch_tits|0.250000000|"""@gedmelle: 17 missed calls!!!! &#128544;&#128545;""das yo p.o bitch twitter finna be screamn #freemoneymelle"
128|0.7927928|0.8787879|0.8877551|0.88324875|1|Subject:Nuisance_fee|0.400000006|"""@gtm_al: ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
129|0.79464287|0.88|0.8888889|0.88442206|1|Subject:Three_Evils|0.156250000|"""@gagatom1: &#8220;@malefoot: 3 | amo los pies http://t.co/4qe1hdkk8i&#8221;"" fuck yeah"
130|0.79646015|0.8811881|0.89|0.8855722|1|Subject:Child_contact_centre|0.141666681|"""@girlthatsvonte: these hoes be thinking meat won't slap they ass &#128564;&#128075;"" ainna bruh"
131|0.7982456|0.88235295|0.8910891|0.8866995|1|Subject:Abuse_of_information|0.200000003|"""@girlthatsvonte: yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
132|0.8|0.88349515|0.89215684|0.88780487|1|Subject:Nuisance_fee|0.400000006|"""@girlthatsvonte: yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
133|0.80172414|0.88461536|0.89320385|0.88888896|1|Subject:Teacher_abuse|0.200000003|"""@girllssues: i wanna have sex with my mom fuck her right in that pussy where i came from"" damn you got hacked like fuck"
134|0.8034188|0.8857143|0.8942308|0.8899521|1|Subject:Bitch_tits|0.250000000|"""@gizzy_jones94: if she kiss u with her eyes open watch that bitch!""lmfao"
135|0.80508476|0.8867925|0.8952381|0.89099526|1|Subject:Carlos_Prats|0.106862754|"""@goofstroop: you a woulda coulda shoulda ass hoe &#128563;&#128586;"""
136|0.8067227|0.88785046|0.8962264|0.89201874|1|Subject:Nuisance_fee|0.200000003|"""@gotti_ltf: happy bday bitch ass nigga @jetsandaswisher""preciate that bitch roll up!"
137|0.80833334|0.8888889|0.89719623|0.89302325|1|Subject:Abuse|0.290476203|"""@hbmostdope: @1jayee @pipinhoes used to send that bitch up"""
138|0.80991733|0.88990825|0.8981481|0.89400923|1|Subject:Nuisance_fee|0.200000003|"""@hbmostdope: ugly bitches be like i'm my own wcw duh bitch you ain't nobody elses&#128514;&#128514;"""
139|0.8114754|0.8909091|0.89908254|0.89497715|1|Subject:Total_balance|0.160000011|"""@halotgmg: @1stname_bravo nigga you know we hacky sack hoes."" ...nah, i throw no look passes lmao"
140|0.8130081|0.8918919|0.9|0.8959276|1|Subject:Bunch_of_Guys|0.250000000|"""@heartlessfuck: glad i'm getting outta atlanta. nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
141|0.8064516|0.8918919|0.8918919|0.8918919|2|Subject:Psychology_of_torture|0.150000006|"""@hermosaalma: this isn't ghetto.....it's smart https://t.co/mpazq3jswf"" i'm doing this idc"
142|0.808|0.89285713|0.89285713|0.89285713|1|Subject:Domestic_violence_in_same-sex_relationships|0.333333343|"""@hiimjorib: i would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
143|0.8095238|0.8938053|0.8938053|0.8938053|1|Subject:Act_as_1_Campaign|0.138888910|"""@hornyfacts: being single isn't an excuse to be a hoe."" @theonemiss_luu"
144|0.8110236|0.8947368|0.8947368|0.8947368|1|Subject:Black_site|0.194444448|"""@hoskinsty96: white boy power bitch"" black power bitch"
145|0.8125|0.8956522|0.8956522|0.8956522|1|Subject:Trading_blows|0.250000000|"""@hudgens_11: lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" bro white dudes have no chill."
146|0.81395346|0.8965517|0.8965517|0.8965517|1|Subject:Nuisance_fee|0.200000003|"""@iscoutgirls: @verbally_abrupt bitch where u been"" around the world and back. where you been?"
147|0.8153846|0.8974359|0.8974359|0.8974359|1|Subject:Blanket_party|0.250000000|"""@itsyahboiray: @anelylove if i don't get my dick sucked at yo party by a bad bitch i'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
148|0.8091603|0.8898305|0.8974359|0.89361703|1|Subject:Grapple_Ray|0.100000001|"""@itsyesie: #oomf is soooo cute. but he probably has hoes on him a lot."""
149|0.81060606|0.8907563|0.89830506|0.8945148|1|Subject:Abuse_prevention_program|0.190476209|"""@jayten9: in every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9ukd8wtz6x"" lmao damn captain saveahoe"
150|0.80451125|0.8907563|0.8907563|0.8907563|2|Subject:Bad_trip|0.116666675|"""@jreebo: who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/feqxgn0w6i"" hot sox and legs"
151|0.80597013|0.89166665|0.89166665|0.89166665|1|Subject:Nuisance_fee|0.200000003|"""@jamesynba: i wish i was a bitch like my brother keezy &#128530;"" ooooow i bet you do"
152|0.8074074|0.892562|0.892562|0.892562|1|Subject:Spray-on_clothing|0.142857149|"""@jasminepore: if you dressed up as a cat for halloween you are basic."" ...or a pussy"
153|0.8088235|0.89344263|0.89344263|0.89344263|1|Subject:Bitch_tits|0.250000000|"""@jewelxo: can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @pornhub get on it katie&lt;3"
154|0.810219|0.8943089|0.8943089|0.8943089|1|Subject:Adult_abuse|0.485714316|"""@joebudden: stop being scared to choke her during sex u bitch ass niggas. she&#8217;ll like it."". says the guy who hits women out of bed. foh"
155|0.8043478|0.88709676|0.8943089|0.89068824|1|Subject:Grapple_Ray|0.100000001|"""@johnny55perez: @white_thunduh ha well iguess i make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
156|0.8057554|0.888|0.8951613|0.8915663|1|Subject:Offence_against_the_person|0.657142878|"""@kazatta: @1takehov oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
158|0.80714285|0.8888889|0.896|0.89243025|1|Subject:The_Mother_(Hindi_Film)|0.122222237|"""@keyshawnswag: lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? my nigga!!!"
159|0.8014184|0.8888889|0.8888889|0.8888889|2|Subject:Line_sitting|0.233333334|"""@keyshawnswag: peel up peel up bring it back up rewind back where i'm from they move shaq from the line"" ooooow who tf said that trash!!?"
161|0.8028169|0.8897638|0.8897638|0.8897638|1|Subject:Helmet_cover|0.133333340|"""@kinghendo95: @vondreaam naw it's my old tape. new cover . my upcoming mixtape is #kingofthehill"" yeah i'm waiting on that hoe mayne!"
163|0.8041958|0.890625|0.890625|0.890625|1|Subject:Mellow_Yellow_coffeeshop|0.116666667|"""@king_shawn_6: @white_thunduh that's where i get my yellow flags for being amazing &#128079;&#128524;"" hell yeah niggy"
164|0.8055556|0.8914729|0.8914729|0.8914729|1|Subject:Time_served|0.349999994|"""@kissmysmilee: don't got time for bitches to be actin iffy."""
165|0.8|0.8914729|0.88461536|0.8880308|2|Subject:Racism_by_country|0.166666672|"""@knightfanneal #ucfpinkparty come on stay alive knights nation!!!!"" this is still the early bird special. #comeatmeut"
166|0.80136985|0.8923077|0.8854962|0.8888889|1|Subject:Web_We_Want|0.166666672|"""@kyranadiya_: these hoes ain't loyal ; no they ain't http://t.co/h1ubsvbkgl"" smfh &amp; wonder why nobody decent wants them"
167|0.8027211|0.89312977|0.8863636|0.88973385|1|Subject:Adult_abuse|0.400000006|"""@lcistj: bruh, you studs keep thinking i'm soft as hell. ask ya girl how many times she screamed she was my bitch. oh okay. stfu."" bye hoe!"
168|0.8040541|0.8939394|0.88721806|0.890566|1|Subject:Bitch_tits|0.250000000|"""@lodycash: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
170|0.80536914|0.8947368|0.8880597|0.89138573|1|Subject:Kishka_(prison_cell)|0.240000010|"""@laflaregodjosh: gucci mane in jail and dropping mixtapes every month and you hoes can't even text back"""
171|0.8066667|0.8955224|0.8888889|0.8921933|1|Subject:Offences_Against_the_Person_Act|0.133333340|"""@latrobemark: you love these hoes more then money wats wrong these niggas"""
172|0.80794704|0.8962963|0.8897059|0.892989|1|Subject:Offences_Against_the_Person_Act|0.323809564|"""@lebronvuitton: a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo."" ...sounding like me over there lol"
173|0.80921054|0.89705884|0.890511|0.89377296|1|Subject:Abuse_of_information|0.285714298|"""@lilfridayhoe: easy cum, easy hoe"" that's a fact !"
174|0.8039216|0.890511|0.890511|0.890511|1|Subject:Deviant_sexual_intercourse|0.095238104|"""@lifeasbros: charlie sheen is too real http://t.co/gggdk3kov7"" major fucking respect for charlie sheen."
175|0.7987013|0.884058|0.890511|0.8872727|1|Subject:Hoe_Kah_Hong|0.068750001|"""@lightskingawdd: wish i had a bae &#128533;"" you got all the hoes tho"
176|0.8|0.8848921|0.8913044|0.8880867|1|Subject:Nuisance_fee|0.200000003|"""@lil_mike_12: fuck twerking bitch can you cook ?"""
177|0.80128205|0.8857143|0.8920863|0.8888889|1|Subject:Bitch_tits|0.250000000|"""@linniekravitz: @wesgodlaflare bitch wtf"" http://t.co/dasmycxodb"
