N|Acuraccy|Precision|Recall|F-Measure|Class|Domain|DomainValue|Comment
67|0.86440676|0.90909094|0.9433962|0.92592597|2|Subject:Spray-on_clothing|0.083333336|"""@allaboutmanfeet: http://t.co/3gzupfumev"" woof woof and hot soles"
68|0.85|0.90909094|0.9259259|0.91743124|2|Subject:Act_as_1_Campaign|0.138888910|"""@allyhaaaaa: lemmie eat a oreo &amp; do these dishes."" one oreo? lol"
69|0.852459|0.91071427|0.92727274|0.91891897|1|Subject:Offence_against_the_person|0.235897452|"""@almightywayne__: @jetsandaswisher @gook____ bitch fuck u http://t.co/pxmga68nc1"" maybe you'll get better. just http://t.co/tprevwfq0s"
71|0.83870965|0.91071427|0.91071427|0.91071427|2|Subject:Hebron_Jane_Doe|0.173333332|"""@arizonasfinest6: why the eggplant emoji doe?""y he say she looked like scream lmao"
72|0.84126985|0.9122807|0.9122807|0.9122807|1|Subject:Act_as_1_Campaign|0.138888910|"""@autoworid: hennessey venom gt &#128584; http://t.co/i8egmnkaj9"" that's one sexy bitch"
73|0.84375|0.9137931|0.9137931|0.9137931|1|Subject:Adult_abuse|0.153846160|"""@bossbytchh: him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
74|0.84615386|0.91525424|0.91525424|0.91525424|1|Subject:Nuisance_fee|0.400000006|"""@bro_hen314: #eaglesnation and every #eagles need to see that pic i just posted because that bitch just said the most racist shit"""
75|0.8484849|0.9166667|0.9166667|0.9166667|1|Subject:Adult_abuse|0.735664368|"""@bvsedchink: yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/vbczp6hmt7"" @amjemiebenn"
76|0.8358209|0.9166667|0.90163934|0.90909094|2|Subject:Parental_abuse_by_children|0.333333343|"""@babyanimalpics: baby monkey bathtime http://t.co/7kpwadlf0r"" awwwwe! this is soooo adorable!"
78|0.8382353|0.91803277|0.9032258|0.9105691|1|Subject:B|0.200000003|"""@beeasyjrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""no bs must b &gt;30%chance"
79|0.8405797|0.91935486|0.9047619|0.912|1|Subject:Nuisance_fee|0.200000003|"""@beenbasedb: @_kudabrazyy http://t.co/luubgl9y5u"" 0 rings 0 mvps 0 bitches lol"
81|0.8428571|0.9206349|0.90625|0.91338575|1|Subject:Abuse_of_information|0.285714298|"""@bestproadvice: the facts on tattoos...tattoo http://t.co/zwnbhpdz8e"" he's a pussy with not tattooing them nipples"
82|0.8450704|0.921875|0.9076923|0.9147287|1|Subject:Nuisance_fee|0.400000006|"""@bill215_: &#128175;&#128175;&#128175; rt @nel_ayden bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
83|0.8472222|0.9230769|0.90909094|0.9160305|1|Subject:Stress_position|0.117948726|"""@bitchjones92: get worshiping bitch! http://t.co/r37cejcjou"" woof woof"
85|0.84931505|0.92424244|0.9104478|0.91729325|1|Subject:Machiavellianism_in_the_workplace|0.229166687|"""@blacknerdjade: ok, sis."" she'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
86|0.8513514|0.92537314|0.9117647|0.9185185|0|Subject:Poof|0.333333343|"""@blackman38tide: @whalelookyhere @howdydowdy11 queer"" gaywad"
87|0.85333335|0.9264706|0.9130435|0.9197081|1|Subject:Serial_rapist|0.105769232|"""@brokenpiecesmsc: @itsnotadam faggot read my tweets after dat k"" it wasn't even funny lol"
91|0.8552632|0.92753625|0.9142857|0.92086333|1|Subject:Abuse_of_information|0.153846160|"""@ccobey: @aydanmccoy happy birthday nigs"" thanks yo"
92|0.85714287|0.9285714|0.91549295|0.9219858|1|Subject:Offences_Against_the_Person_Act|0.316239327|"""@chlldhoodruiner: when ur teacher tells u that u have homework https://t.co/rkk5vawij1"" this bitch need to go!!!"
93|0.85897434|0.92957747|0.9166667|0.923077|1|Subject:John_Patrick_Bedell|0.250000000|"""@caelang15: ""@22edham: @caelang15 that nigga was eating that hoe lol"" hell yea lol john paul"" nigga said john paul.. http://t.co/osipbkpr9h"
94|0.8607595|0.9305556|0.91780823|0.9241379|1|Subject:Offences_Against_the_Person_Act|0.426373661|"""@canifuckornah: what would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
95|0.8625|0.9315069|0.9189189|0.92517006|1|Subject:Offence_against_the_person|0.235897452|"""@carelessone92: leafs better win this damn game so i can go riot and shit #earlychristmas"" you better start looting my nig"
96|0.86419755|0.9324324|0.92|0.92617446|1|Subject:Iron_chair|0.243589759|"""@causewereguys: going back to school sucks more dick than the hoes who attend it."""
97|0.86585367|0.93333334|0.92105263|0.92715234|1|Subject:Stress_position|0.235897452|"""@causewereguys: on my way to fuck yo bitch http://t.co/j906t5ze2r"" me as a 9 year old"
98|0.8674699|0.93421054|0.9220779|0.9281046|1|Subject:First_they_came_...|0.201388910|"""@celeynichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
99|0.86904764|0.9350649|0.9230769|0.9290322|1|Subject:Right_to_work|0.196581215|"""@chadmfverbeck: if richnow doesn't show up with hella tinder hoes im not his friend anymore"" chill i brought like like 8 prople"
100|0.87058824|0.9358974|0.9240506|0.9299363|1|Subject:Adult_abuse|0.153846160|"""@chandlerparsons: how bout them cowboys!!!!"" shutup pussy"
101|0.872093|0.93670887|0.925|0.93081766|1|Subject:Nuisance_fee|0.400000006|"""@clicquotsuave: lmaooooooooooo this nigga @krillz_nuh_care http://t.co/aanpsujmyi"" &lt;bitch want likes for some depressing shit..foh"
102|0.87356323|0.9375|0.9259259|0.931677|1|Subject:Offences_Against_the_Person_Act|0.646153867|"""@coley_cee: @lil_aerii girl you know i was spitting that g shit to you &amp; you was going lbvs""bitch plz"
103|0.875|0.9382716|0.9268293|0.9325153|1|Subject:Kishka_(prison_cell)|0.240000010|"""@coley_cee: let me make a couple tweets off cuzzo page, so i won't get in twitter jail.""lmao bitch don't trick me again"
104|0.8764045|0.9390244|0.92771083|0.93333334|1|Subject:Right_to_work|0.294871807|"""@comedyposts: harlem shake is just an excuse to go full retard for 30 seconds."""
105|0.87777776|0.939759|0.9285714|0.9341317|1|Subject:Total_balance|0.160000011|"""@comedytruth: amen miley &#128591; http://t.co/p2kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
106|0.8791209|0.9404762|0.92941177|0.93491125|1|Subject:Adult_abuse|0.353846163|"""@corybandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
107|0.8804348|0.9411765|0.9302326|0.9356725|1|Subject:Animal_bite|0.102564111|"""@crhedry: pussy licking pussy.... meow meow #stopwhitepeople2014 &#128049; https://t.co/keegdcjs5k&#8221;"""""""" &#128533;"
108|0.8817204|0.94186044|0.9310345|0.93641615|1|Subject:Adult_abuse|0.689510465|"""@dbab_holloway: check out our 12th man. #cowboysnation"" even with all those faggot ny fans in the stands"
110|0.88297874|0.9425287|0.9318182|0.9371428|1|Subject:Offences_Against_the_Person_Act|0.528937757|"""@daedavidavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
111|0.8842105|0.9431818|0.9325843|0.93785316|0|Subject:Gay_bashing|0.285714298|"""@devilgrimz: @vigxrarts you're fucking gay, blacklisted hoe"" holding out for #tehgodclan anyway http://t.co/xuccwoetmn"
112|0.8854167|0.94382024|0.93333334|0.9385475|1|Subject:Offences_Against_the_Person_Act|0.235897452|"""@diamondloudkush: the fuck be wrong with these bitches?"" nobody knows"
113|0.88659793|0.9444444|0.93406594|0.9392265|1|Subject:Bitch_tits|0.250000000|"""@dietrich1892: yall shut up:p"" make me bitch"
114|0.8877551|0.94505495|0.9347826|0.93989074|1|Subject:Adult_abuse|0.285714298|"""@dionairish: i hate a ""i'm pregnant"" type of bitch."""
115|0.8888889|0.9456522|0.9354839|0.94054055|1|Subject:Three_Evils|0.156250000|"""@doyou_q: got bitches in the dm but i don't ever read'em"" which is y your top 3"
116|0.88|0.9456522|0.9255319|0.9354839|2|Subject:It's_Showtime_2012_in_Leeuwarden|0.166666672|"""@domworldpeace: baseball season for the win. #yankees"" this is where the love started"
117|0.8811881|0.94623655|0.9263158|0.93617016|1|Subject:Offences_Against_the_Person_Act|0.235897452|"""@dommoneek: little stupid as bitch i don't fuck with yoooooouuuu.."""
118|0.88235295|0.9468085|0.9270833|0.9368421|1|Subject:Offence_against_the_person|0.259259284|"""@dreadheadari: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" lol"
119|0.8737864|0.9468085|0.91752577|0.9319371|2|Subject:Claimants_Bill_of_Rights|0.250000000|"""@dunderbail: i'm an early bird and i'm a night owl, so i'm wise and have worms."""
120|0.86538464|0.9468085|0.90816325|0.9270834|2|Subject:Motherfucker|0.223333344|"""@edgarpixar: overdosing on heavy drugs doesn't sound bad tonight."" i do that pussy shit every day."
121|0.85714287|0.9468085|0.8989899|0.9222798|2|Subject:Adult_abuse|0.861538470|"""@el_grillo1: pit bulls photographed as lovely fairy tale creatures http://t.co/q0sm89oolh&#8221; they *are* fairy tale creatures."
122|0.8584906|0.94736844|0.9|0.92307687|1|Subject:Poof|0.333333343|"""@ferocious_ghost: @1stname_bravo aw."" ...fag, don't tweet ""aw"" to me lol"
124|0.8598131|0.9479167|0.9009901|0.9238579|1|Subject:Poof|0.333333343|"""@frosstyy_: @h0rheyd i didn't say anything tho"" kiss me then faggot"
125|0.8518519|0.9479167|0.89215684|0.9191919|2|Subject:Time-out_(parenting)|0.250000000|"""@funnypicsdepot: this the ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/zuai7qwbir"" &#128514; yup"
126|0.853211|0.9484536|0.89320385|0.92|1|Subject:Offences_Against_the_Person_Act|0.316239327|"""@g27status: i could go for a fat ass bitch on my lap"" same"
127|0.8545455|0.9489796|0.8942308|0.92079204|1|Subject:Bitch_tits|0.250000000|"""@gedmelle: 17 missed calls!!!! &#128544;&#128545;""das yo p.o bitch twitter finna be screamn #freemoneymelle"
128|0.8558559|0.94949496|0.8952381|0.92156863|1|Subject:Offences_Against_the_Person_Act|0.543589771|"""@gtm_al: ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
129|0.85714287|0.95|0.8962264|0.9223301|1|Subject:Three_Evils|0.156250000|"""@gagatom1: &#8220;@malefoot: 3 | amo los pies http://t.co/4qe1hdkk8i&#8221;"" fuck yeah"
130|0.8584071|0.95049506|0.89719623|0.9230769|1|Subject:Child_contact_centre|0.185256422|"""@girlthatsvonte: these hoes be thinking meat won't slap they ass &#128564;&#128075;"" ainna bruh"
131|0.8596491|0.95098037|0.8981481|0.92380947|1|Subject:Abuse_of_information|0.353846163|"""@girlthatsvonte: yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"
132|0.8608696|0.9514563|0.89908254|0.9245283|1|Subject:Nuisance_fee|0.400000006|"""@girlthatsvonte: yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
133|0.86206895|0.9519231|0.9|0.92523366|1|Subject:Right_to_work|0.322649598|"""@girllssues: i wanna have sex with my mom fuck her right in that pussy where i came from"" damn you got hacked like fuck"
134|0.8632479|0.95238096|0.9009009|0.92592597|1|Subject:Bitch_tits|0.250000000|"""@gizzy_jones94: if she kiss u with her eyes open watch that bitch!""lmfao"
135|0.86440676|0.9528302|0.90178573|0.9266055|1|Subject:Animal_bite|0.111111119|"""@goofstroop: you a woulda coulda shoulda ass hoe &#128563;&#128586;"""
136|0.8655462|0.95327103|0.9026549|0.92727274|1|Subject:Offences_Against_the_Person_Act|0.441025674|"""@gotti_ltf: happy bday bitch ass nigga @jetsandaswisher""preciate that bitch roll up!"
137|0.8666667|0.9537037|0.9035088|0.9279279|1|Subject:Offences_Against_the_Person_Act|0.338461578|"""@hbmostdope: @1jayee @pipinhoes used to send that bitch up"""
138|0.8677686|0.95412844|0.90434784|0.92857146|1|Subject:Offences_Against_the_Person_Act|0.235897452|"""@hbmostdope: ugly bitches be like i'm my own wcw duh bitch you ain't nobody elses&#128514;&#128514;"""
139|0.86885244|0.95454544|0.9051724|0.92920357|1|Subject:Total_balance|0.160000011|"""@halotgmg: @1stname_bravo nigga you know we hacky sack hoes."" ...nah, i throw no look passes lmao"
140|0.8699187|0.954955|0.9059829|0.92982465|1|Subject:Bunch_of_Guys|0.250000000|"""@heartlessfuck: glad i'm getting outta atlanta. nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
141|0.86290324|0.954955|0.89830506|0.9257642|2|Subject:Psychology_of_torture|0.150000006|"""@hermosaalma: this isn't ghetto.....it's smart https://t.co/mpazq3jswf"" i'm doing this idc"
142|0.864|0.95535713|0.89915967|0.926407|1|Subject:Offence_against_the_person|0.316239327|"""@hiimjorib: i would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
143|0.86507934|0.9557522|0.9|0.9270386|1|Subject:Act_as_1_Campaign|0.138888910|"""@hornyfacts: being single isn't an excuse to be a hoe."" @theonemiss_luu"
144|0.86614174|0.95614034|0.90082645|0.9276596|1|Subject:Black_knight|0.226730764|"""@hoskinsty96: white boy power bitch"" black power bitch"
145|0.8671875|0.95652175|0.90163934|0.9282701|1|Subject:Offences_Against_the_Person_Act|0.410256445|"""@hudgens_11: lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" bro white dudes have no chill."
146|0.86821705|0.95689654|0.902439|0.92887026|1|Subject:Offences_Against_the_Person_Act|0.213675231|"""@iscoutgirls: @verbally_abrupt bitch where u been"" around the world and back. where you been?"
147|0.86923075|0.95726496|0.9032258|0.9294606|1|Subject:Offences_Against_the_Person_Act|0.293040335|"""@itsyahboiray: @anelylove if i don't get my dick sucked at yo party by a bad bitch i'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *"
148|0.86259544|0.9491525|0.9032258|0.9256198|1|Subject:Grapple_Ray|0.100000001|"""@itsyesie: #oomf is soooo cute. but he probably has hoes on him a lot."""
149|0.8636364|0.94957983|0.904|0.92622954|1|Subject:Offences_Against_the_Person_Act|0.235897452|"""@jayten9: in every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9ukd8wtz6x"" lmao damn captain saveahoe"
150|0.85714287|0.94957983|0.8968254|0.92244893|2|Subject:Total_balance|0.141538471|"""@jreebo: who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/feqxgn0w6i"" hot sox and legs"
151|0.85820895|0.95|0.8976378|0.9230769|1|Subject:Offences_Against_the_Person_Act|0.338461578|"""@jamesynba: i wish i was a bitch like my brother keezy &#128530;"" ooooow i bet you do"
152|0.85925925|0.9504132|0.8984375|0.9236948|1|Subject:Spray-on_clothing|0.219780236|"""@jasminepore: if you dressed up as a cat for halloween you are basic."" ...or a pussy"
153|0.8602941|0.9508197|0.8992248|0.9243028|1|Subject:Offences_Against_the_Person_Act|0.316239327|"""@jewelxo: can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @pornhub get on it katie&lt;3"
154|0.8613139|0.9512195|0.9|0.9249012|1|Subject:Offences_Against_the_Person_Act|0.559706986|"""@joebudden: stop being scared to choke her during sex u bitch ass niggas. she&#8217;ll like it."". says the guy who hits women out of bed. foh"
155|0.85507244|0.9435484|0.9|0.9212598|1|Subject:Grapple_Ray|0.100000001|"""@johnny55perez: @white_thunduh ha well iguess i make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
156|0.8561151|0.944|0.90076333|0.921875|1|Subject:Adult_abuse|0.849350691|"""@kazatta: @1takehov oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
158|0.85714287|0.9444444|0.9015151|0.92248064|1|Subject:The_Mother_(Hindi_Film)|0.122222237|"""@keyshawnswag: lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? my nigga!!!"
159|0.85106385|0.9444444|0.8947368|0.9189189|2|Subject:Offences_Against_the_Person_Act|0.338461578|"""@keyshawnswag: peel up peel up bring it back up rewind back where i'm from they move shaq from the line"" ooooow who tf said that trash!!?"
161|0.85211265|0.9448819|0.8955224|0.9195403|1|Subject:Talking_shit|0.176923081|"""@kinghendo95: @vondreaam naw it's my old tape. new cover . my upcoming mixtape is #kingofthehill"" yeah i'm waiting on that hoe mayne!"
163|0.85314685|0.9453125|0.8962963|0.9201522|1|Subject:Right_to_die|0.220512837|"""@king_shawn_6: @white_thunduh that's where i get my yellow flags for being amazing &#128079;&#128524;"" hell yeah niggy"
164|0.8541667|0.9457364|0.89705884|0.92075473|1|Subject:Time_served|0.349999994|"""@kissmysmilee: don't got time for bitches to be actin iffy."""
165|0.84827584|0.9457364|0.890511|0.9172932|2|Subject:Child_support_by_country|0.166666672|"""@knightfanneal #ucfpinkparty come on stay alive knights nation!!!!"" this is still the early bird special. #comeatmeut"
166|0.84931505|0.9461538|0.8913044|0.91791046|1|Subject:Web_We_Want|0.166666672|"""@kyranadiya_: these hoes ain't loyal ; no they ain't http://t.co/h1ubsvbkgl"" smfh &amp; wonder why nobody decent wants them"
167|0.8503401|0.9465649|0.8920863|0.9185186|1|Subject:Offences_Against_the_Person_Act|0.449572653|"""@lcistj: bruh, you studs keep thinking i'm soft as hell. ask ya girl how many times she screamed she was my bitch. oh okay. stfu."" bye hoe!"
168|0.8513514|0.9469697|0.89285713|0.9191176|1|Subject:Bitch_tits|0.250000000|"""@lodycash: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"
170|0.852349|0.94736844|0.89361703|0.919708|1|Subject:School_of_the_Americas_Watch|0.325320512|"""@laflaregodjosh: gucci mane in jail and dropping mixtapes every month and you hoes can't even text back"""
171|0.85333335|0.9477612|0.8943662|0.9202899|1|Subject:Adult_abuse|0.153846160|"""@latrobemark: you love these hoes more then money wats wrong these niggas"""
172|0.8543046|0.94814813|0.8951049|0.9208633|1|Subject:Offences_Against_the_Person_Act|0.528937757|"""@lebronvuitton: a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo."" ...sounding like me over there lol"
173|0.8552632|0.9485294|0.8958333|0.92142856|1|Subject:Abuse_of_information|0.285714298|"""@lilfridayhoe: easy cum, easy hoe"" that's a fact !"
174|0.85620916|0.9489051|0.8965517|0.9219858|1|Subject:Psychology_of_torture|0.115384623|"""@lifeasbros: charlie sheen is too real http://t.co/gggdk3kov7"" major fucking respect for charlie sheen."
175|0.85064936|0.942029|0.8965517|0.91872793|1|Subject:Right_to_work|0.098290607|"""@lightskingawdd: wish i had a bae &#128533;"" you got all the hoes tho"
176|0.8516129|0.94244605|0.89726025|0.91929823|1|Subject:Offences_Against_the_Person_Act|0.205128223|"""@lil_mike_12: fuck twerking bitch can you cook ?"""
177|0.8525641|0.94285715|0.8979592|0.9198606|1|Subject:Bitch_tits|0.250000000|"""@linniekravitz: @wesgodlaflare bitch wtf"" http://t.co/dasmycxodb"
